Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	1823475	1776189	47286	8203	2081	2081	39083	0.0214	0.0045	0.0220	0.0039	0.0011
1	1823475	1755036	68439	16511	3269	1188	51928	0.0285	0.0091	0.0294	0.0082	0.0007
2	1823475	1781059	42416	16373	2420	1232	26043	0.0143	0.0090	0.0149	0.0083	0.0007
3	1823475	1770605	52870	16426	3059	1827	36444	0.0200	0.0090	0.0208	0.0082	0.0010
4	1823475	1769045	54430	15962	2584	757	38468	0.0211	0.0088	0.0218	0.0080	0.0004
5	1823475	1786761	36714	15379	1640	883	21335	0.0117	0.0084	0.0121	0.0080	0.0005
6	1823475	1766227	57248	15313	1532	649	41935	0.0230	0.0084	0.0234	0.0080	0.0004
7	1823475	1794911	28564	14524	946	297	14040	0.0077	0.0080	0.0080	0.0077	0.0002
8	1823475	1794561	28914	14235	570	273	14679	0.0081	0.0078	0.0082	0.0077	0.0001
9	1823475	1794451	29024	14306	544	271	14718	0.0081	0.0078	0.0082	0.0077	0.0001
10	1823475	1790272	33203	14281	743	472	18922	0.0104	0.0078	0.0106	0.0076	0.0003
11	1823475	1781955	41520	14038	841	369	27482	0.0151	0.0077	0.0153	0.0075	0.0002
12	1823475	1792793	30682	13488	729	360	17194	0.0094	0.0074	0.0096	0.0072	0.0002
13	1823475	1791147	32328	13560	681	321	18768	0.0103	0.0074	0.0105	0.0072	0.0002
14	1823475	1794841	28634	13308	606	285	15326	0.0084	0.0073	0.0086	0.0071	0.0002
15	1823475	1786155	37320	13283	841	556	24037	0.0132	0.0073	0.0134	0.0071	0.0003
16	1823475	1780243	43232	13780	1066	510	29452	0.0162	0.0076	0.0164	0.0073	0.0003
17	1823475	1783643	39832	13565	1001	491	26267	0.0144	0.0074	0.0147	0.0072	0.0003
18	1823475	1786649	36826	13535	897	406	23291	0.0128	0.0074	0.0130	0.0072	0.0002
19	1823475	1785931	37544	13844	938	532	23700	0.0130	0.0076	0.0133	0.0073	0.0003
20	1823475	1774827	48648	13814	1353	821	34834	0.0191	0.0076	0.0195	0.0072	0.0005
21	1823475	1769321	54154	14103	1779	958	40051	0.0220	0.0077	0.0225	0.0072	0.0005
22	1823475	1763593	59882	14543	2170	1212	45339	0.0249	0.0080	0.0255	0.0074	0.0007
23	1823475	1766333	57142	14492	2301	1089	42650	0.0234	0.0079	0.0240	0.0073	0.0006
24	1823475	1764778	58697	15075	2422	1333	43622	0.0239	0.0083	0.0246	0.0076	0.0007
25	1823475	1748522	74953	16042	3131	1798	58911	0.0323	0.0088	0.0332	0.0079	0.0010
26	1823475	1748959	74516	16476	4287	2489	58040	0.0318	0.0090	0.0330	0.0079	0.0014
27	1823475	1710592	112883	17907	6426	3937	94976	0.0521	0.0098	0.0538	0.0081	0.0022
28	1823475	1719656	103819	18808	7268	3331	85011	0.0466	0.0103	0.0486	0.0083	0.0018
29	1823475	1725319	98156	18796	7210	3879	79360	0.0435	0.0103	0.0455	0.0083	0.0021
30	1823475	1700168	123307	19876	8805	4926	103431	0.0567	0.0109	0.0591	0.0085	0.0027
31	1823475	1706091	117384	21054	11822	6896	96330	0.0528	0.0115	0.0561	0.0083	0.0038
32	1823475	1627398	196077	25172	19260	12364	170905	0.0937	0.0138	0.0990	0.0085	0.0068
33	1823475	1640236	183239	30100	25265	12901	153139	0.0840	0.0165	0.0909	0.0096	0.0071
34	1823475	1645248	178227	15688	12901	0	162539	0.0891	0.0086	0.0927	0.0051	0.0000
