Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	24849	24251	598	169	23	23	429	0.0173	0.0068	0.0177	0.0064	0.0009
1	24849	24133	716	353	32	9	363	0.0146	0.0142	0.0153	0.0136	0.0004
2	24849	24223	626	379	19	10	247	0.0099	0.0153	0.0103	0.0149	0.0004
3	24849	24221	628	359	18	8	269	0.0108	0.0144	0.0112	0.0141	0.0003
4	24849	24247	602	349	18	10	253	0.0102	0.0140	0.0105	0.0137	0.0004
5	24849	24149	700	358	29	19	342	0.0138	0.0144	0.0143	0.0138	0.0008
6	24849	24029	820	355	27	8	465	0.0187	0.0143	0.0192	0.0138	0.0003
7	24849	24280	569	358	15	7	211	0.0085	0.0144	0.0088	0.0141	0.0003
8	24849	24317	532	314	11	4	218	0.0088	0.0126	0.0090	0.0124	0.0002
9	24849	24270	579	296	10	6	283	0.0114	0.0119	0.0116	0.0117	0.0002
10	24849	24120	729	314	13	7	415	0.0167	0.0126	0.0169	0.0124	0.0003
11	24849	24162	687	304	13	6	383	0.0154	0.0122	0.0157	0.0120	0.0002
12	24849	24265	584	306	13	7	278	0.0112	0.0123	0.0114	0.0121	0.0003
13	24849	24296	553	288	11	4	265	0.0107	0.0116	0.0109	0.0114	0.0002
14	24849	24192	657	280	15	11	377	0.0152	0.0113	0.0155	0.0110	0.0004
15	24849	24108	741	309	20	9	432	0.0174	0.0124	0.0178	0.0120	0.0004
16	24849	24095	754	314	20	11	440	0.0177	0.0126	0.0181	0.0122	0.0004
17	24849	24140	709	278	29	18	431	0.0173	0.0112	0.0179	0.0106	0.0007
18	24849	24171	678	257	26	8	421	0.0169	0.0103	0.0175	0.0098	0.0003
19	24849	24093	756	304	21	13	452	0.0182	0.0122	0.0186	0.0118	0.0005
20	24849	23951	898	333	24	11	565	0.0227	0.0134	0.0232	0.0129	0.0004
21	24849	24010	839	332	27	16	507	0.0204	0.0134	0.0209	0.0128	0.0006
22	24849	23834	1015	318	40	24	697	0.0280	0.0128	0.0289	0.0120	0.0010
23	24849	23878	971	296	40	16	675	0.0272	0.0119	0.0280	0.0111	0.0006
24	24849	23818	1031	326	40	24	705	0.0284	0.0131	0.0292	0.0123	0.0010
25	24849	23648	1201	382	51	27	819	0.0330	0.0154	0.0340	0.0144	0.0011
26	24849	23663	1186	360	58	31	826	0.0332	0.0145	0.0344	0.0133	0.0012
27	24849	23241	1608	379	81	50	1229	0.0495	0.0153	0.0511	0.0136	0.0020
28	24849	23198	1651	404	103	53	1247	0.0502	0.0163	0.0522	0.0142	0.0021
29	24849	22975	1874	408	126	73	1466	0.0590	0.0164	0.0615	0.0139	0.0029
30	24849	22904	1945	457	159	86	1488	0.0599	0.0184	0.0631	0.0152	0.0035
31	24849	22997	1852	433	183	97	1419	0.0571	0.0174	0.0608	0.0138	0.0039
32	24849	22129	2720	451	264	167	2269	0.0913	0.0181	0.0966	0.0128	0.0067
33	24849	21954	2895	549	397	230	2346	0.0944	0.0221	0.1024	0.0141	0.0093
34	24849	21913	2936	300	230	0	2636	0.1061	0.0121	0.1107	0.0074	0.0000
