Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	1269293	1253437	15856	4741	655	655	11115	0.0088	0.0037	0.0090	0.0035	0.0005
1	1269293	1247923	21370	9196	969	314	12174	0.0096	0.0072	0.0100	0.0069	0.0002
2	1269293	1252221	17072	8670	562	248	8402	0.0066	0.0068	0.0068	0.0066	0.0002
3	1269293	1250296	18997	8443	564	316	10554	0.0083	0.0067	0.0085	0.0064	0.0002
4	1269293	1250096	19197	8341	544	228	10856	0.0086	0.0066	0.0088	0.0064	0.0002
5	1269293	1250429	18864	8360	556	328	10504	0.0083	0.0066	0.0085	0.0064	0.0003
6	1269293	1247922	21371	8257	504	176	13114	0.0103	0.0065	0.0105	0.0063	0.0001
7	1269293	1253799	15494	8022	316	140	7472	0.0059	0.0063	0.0060	0.0062	0.0001
8	1269293	1250755	18538	8042	325	185	10496	0.0083	0.0063	0.0084	0.0062	0.0001
9	1269293	1251477	17816	8135	379	194	9681	0.0076	0.0064	0.0078	0.0063	0.0002
10	1269293	1247798	21495	8176	449	255	13319	0.0105	0.0064	0.0107	0.0063	0.0002
11	1269293	1247195	22098	7917	458	203	14181	0.0112	0.0062	0.0114	0.0061	0.0002
12	1269293	1251374	17919	7634	368	165	10285	0.0081	0.0060	0.0082	0.0059	0.0001
13	1269293	1249732	19561	7682	371	206	11879	0.0094	0.0061	0.0095	0.0059	0.0002
14	1269293	1249877	19416	7672	429	223	11744	0.0093	0.0060	0.0094	0.0059	0.0002
15	1269293	1244315	24978	7738	600	377	17240	0.0136	0.0061	0.0138	0.0059	0.0003
16	1269293	1241116	28177	7837	648	271	20340	0.0160	0.0062	0.0163	0.0059	0.0002
17	1269293	1248222	21071	7619	534	263	13452	0.0106	0.0060	0.0108	0.0058	0.0002
18	1269293	1244101	25192	7643	540	277	17549	0.0138	0.0060	0.0140	0.0058	0.0002
19	1269293	1244641	24652	7839	655	378	16813	0.0132	0.0062	0.0135	0.0059	0.0003
20	1269293	1236850	32443	8039	948	570	24404	0.0192	0.0063	0.0196	0.0060	0.0004
21	1269293	1232489	36804	8229	1142	572	28575	0.0225	0.0065	0.0230	0.0060	0.0005
22	1269293	1235910	33383	8117	1129	557	25266	0.0199	0.0064	0.0203	0.0060	0.0004
23	1269293	1236370	32923	8138	1126	569	24785	0.0195	0.0064	0.0200	0.0060	0.0004
24	1269293	1233921	35372	8692	1384	815	26680	0.0210	0.0068	0.0216	0.0063	0.0006
25	1269293	1221166	48127	9404	2239	1424	38723	0.0305	0.0074	0.0314	0.0065	0.0011
26	1269293	1215441	53852	9818	2907	1483	44034	0.0347	0.0077	0.0358	0.0066	0.0012
27	1269293	1216516	52777	9613	2978	1495	43164	0.0340	0.0076	0.0352	0.0064	0.0012
28	1269293	1217358	51935	9633	3119	1624	42302	0.0333	0.0076	0.0346	0.0064	0.0013
29	1269293	1209071	60222	10184	3858	2234	50038	0.0394	0.0080	0.0409	0.0065	0.0018
30	1269293	1193276	76017	13741	9294	7060	62276	0.0491	0.0108	0.0527	0.0072	0.0056
31	1269293	1087613	181680	16377	14162	7102	165303	0.1302	0.0129	0.1358	0.0073	0.0056
32	1269293	1182680	86613	13646	10981	3879	72967	0.0575	0.0108	0.0618	0.0064	0.0031
33	1269293	1179241	90052	14082	10204	6325	75970	0.0599	0.0111	0.0639	0.0071	0.0050
34	1269293	1163434	105859	8279	6325	0	97580	0.0769	0.0065	0.0794	0.0040	0.0000
