Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	507751	485064	22687	2535	1326	1326	20152	0.0397	0.0050	0.0410	0.0037	0.0026
1	507751	483335	24416	4783	1793	467	19633	0.0387	0.0094	0.0404	0.0077	0.0009
2	507751	493736	14015	4421	877	410	9594	0.0189	0.0087	0.0198	0.0078	0.0008
3	507751	490690	17061	4702	1105	695	12359	0.0243	0.0093	0.0254	0.0082	0.0014
4	507751	486157	21594	4585	937	242	17009	0.0335	0.0090	0.0344	0.0081	0.0005
5	507751	499277	8474	3964	368	126	4510	0.0089	0.0078	0.0092	0.0074	0.0002
6	507751	497809	9942	3771	212	86	6171	0.0122	0.0074	0.0124	0.0072	0.0002
7	507751	500515	7236	3700	168	82	3536	0.0070	0.0073	0.0071	0.0071	0.0002
8	507751	499773	7978	3760	168	86	4218	0.0083	0.0074	0.0085	0.0072	0.0002
9	507751	496942	10809	3829	241	155	6980	0.0137	0.0075	0.0140	0.0073	0.0003
10	507751	497130	10621	3790	261	106	6831	0.0135	0.0075	0.0137	0.0072	0.0002
11	507751	498845	8906	3676	169	63	5230	0.0103	0.0072	0.0105	0.0071	0.0001
12	507751	499684	8067	3578	129	66	4489	0.0088	0.0070	0.0090	0.0069	0.0001
13	507751	499365	8386	3525	148	82	4861	0.0096	0.0069	0.0097	0.0068	0.0002
14	507751	499398	8353	3397	184	102	4956	0.0098	0.0067	0.0099	0.0065	0.0002
15	507751	496401	11350	3487	235	133	7863	0.0155	0.0069	0.0157	0.0066	0.0003
16	507751	495376	12375	3558	254	121	8817	0.0174	0.0070	0.0176	0.0068	0.0002
17	507751	498059	9692	3424	234	113	6268	0.0123	0.0067	0.0126	0.0065	0.0002
18	507751	497726	10025	3458	222	109	6567	0.0129	0.0068	0.0132	0.0066	0.0002
19	507751	497155	10596	3719	291	182	6877	0.0135	0.0073	0.0138	0.0070	0.0004
20	507751	492276	15475	3813	446	264	11662	0.0230	0.0075	0.0234	0.0071	0.0005
21	507751	492369	15382	3770	505	241	11612	0.0229	0.0074	0.0234	0.0069	0.0005
22	507751	493488	14263	3808	491	250	10455	0.0206	0.0075	0.0211	0.0070	0.0005
23	507751	493006	14745	3708	490	240	11037	0.0217	0.0073	0.0222	0.0068	0.0005
24	507751	493238	14513	3862	628	388	10651	0.0210	0.0076	0.0216	0.0070	0.0008
25	507751	486011	21740	4312	1031	643	17428	0.0343	0.0085	0.0353	0.0075	0.0013
26	507751	485577	22174	4514	1267	624	17660	0.0348	0.0089	0.0360	0.0076	0.0012
27	507751	483540	24211	4587	1310	686	19624	0.0386	0.0090	0.0399	0.0077	0.0014
28	507751	484741	23010	4553	1352	666	18457	0.0364	0.0090	0.0377	0.0076	0.0013
29	507751	483940	23811	4778	1670	1004	19033	0.0375	0.0094	0.0391	0.0078	0.0020
30	507751	474559	33192	5469	2621	1617	27723	0.0546	0.0108	0.0572	0.0082	0.0032
31	507751	471721	36030	5914	3537	1920	30116	0.0593	0.0116	0.0628	0.0082	0.0038
32	507751	464623	43128	6245	4303	2383	36883	0.0726	0.0123	0.0769	0.0081	0.0047
33	507751	464702	43049	6873	5062	2679	36176	0.0712	0.0135	0.0762	0.0086	0.0053
34	507751	466948	40803	3634	2679	0	37169	0.0732	0.0072	0.0758	0.0045	0.0000
