Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	1405382	1382033	23349	6255	1022	1022	17094	0.0122	0.0045	0.0125	0.0041	0.0007
1	1405382	1375660	29722	12264	1629	607	17458	0.0124	0.0087	0.0130	0.0081	0.0004
2	1405382	1373060	32322	11958	1290	683	20364	0.0145	0.0085	0.0149	0.0080	0.0005
3	1405382	1378587	26795	11438	1090	407	15357	0.0109	0.0081	0.0113	0.0078	0.0003
4	1405382	1378859	26523	10994	798	391	15529	0.0110	0.0078	0.0113	0.0075	0.0003
5	1405382	1379891	25491	11055	748	357	14436	0.0103	0.0079	0.0105	0.0076	0.0003
6	1405382	1377848	27534	11011	632	275	16523	0.0118	0.0078	0.0120	0.0076	0.0002
7	1405382	1383437	21945	10670	527	252	11275	0.0080	0.0076	0.0082	0.0074	0.0002
8	1405382	1382128	23254	10600	585	333	12654	0.0090	0.0075	0.0092	0.0073	0.0002
9	1405382	1377185	28197	10907	673	340	17290	0.0123	0.0078	0.0125	0.0075	0.0002
10	1405382	1377471	27911	11041	828	488	16870	0.0120	0.0079	0.0123	0.0076	0.0003
11	1405382	1368058	37324	10630	871	383	26694	0.0190	0.0076	0.0193	0.0073	0.0003
12	1405382	1382068	23314	10044	621	238	13270	0.0094	0.0071	0.0097	0.0069	0.0002
13	1405382	1381533	23849	10012	519	281	13837	0.0098	0.0071	0.0100	0.0069	0.0002
14	1405382	1380180	25202	9904	580	299	15298	0.0109	0.0070	0.0111	0.0068	0.0002
15	1405382	1374870	30512	9996	712	413	20516	0.0146	0.0071	0.0149	0.0069	0.0003
16	1405382	1371155	34227	10366	824	411	23861	0.0170	0.0074	0.0173	0.0071	0.0003
17	1405382	1375433	29949	10172	777	366	19777	0.0141	0.0072	0.0143	0.0070	0.0003
18	1405382	1375320	30062	10226	768	402	19836	0.0141	0.0073	0.0144	0.0070	0.0003
19	1405382	1372525	32857	10294	920	518	22563	0.0161	0.0073	0.0164	0.0070	0.0004
20	1405382	1365125	40257	10388	1285	767	29869	0.0213	0.0074	0.0217	0.0069	0.0005
21	1405382	1359188	46194	10747	1548	781	35447	0.0252	0.0076	0.0258	0.0071	0.0006
22	1405382	1362467	42915	10761	1537	756	32154	0.0229	0.0077	0.0234	0.0071	0.0005
23	1405382	1361818	43564	10838	1548	792	32726	0.0233	0.0077	0.0238	0.0072	0.0006
24	1405382	1357386	47996	11435	1944	1152	36561	0.0260	0.0081	0.0267	0.0074	0.0008
25	1405382	1343561	61821	12517	2868	1716	49304	0.0351	0.0089	0.0361	0.0079	0.0012
26	1405382	1338640	66742	13325	3688	1972	53417	0.0380	0.0095	0.0393	0.0082	0.0014
27	1405382	1326564	78818	13447	4618	2646	65371	0.0465	0.0096	0.0482	0.0079	0.0019
28	1405382	1329344	76038	13682	5493	2847	62356	0.0444	0.0097	0.0463	0.0078	0.0020
29	1405382	1318738	86644	14845	6611	3764	71799	0.0511	0.0106	0.0534	0.0082	0.0027
30	1405382	1300261	105121	16263	8685	4921	88858	0.0632	0.0116	0.0663	0.0085	0.0035
31	1405382	1299569	105813	17100	11313	6392	88713	0.0631	0.0122	0.0671	0.0081	0.0045
32	1405382	1254394	150988	19414	15794	9402	131574	0.0936	0.0138	0.0992	0.0082	0.0067
33	1405382	1263646	141736	23179	19909	10507	118557	0.0844	0.0165	0.0914	0.0094	0.0075
34	1405382	1257996	147386	12444	10507	0	134942	0.0960	0.0089	0.0998	0.0051	0.0000
