Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	10899785	10736586	163199	46565	6351	6351	116634	0.0107	0.0043	0.0110	0.0040	0.0006
1	10899785	10623596	276189	88640	10550	4199	187549	0.0172	0.0081	0.0177	0.0076	0.0004
2	10899785	10742500	157285	82444	6684	2485	74841	0.0069	0.0076	0.0072	0.0073	0.0002
3	10899785	10741575	158210	79557	4917	2432	78653	0.0072	0.0073	0.0074	0.0071	0.0002
4	10899785	10726633	173152	82013	9138	6706	91139	0.0084	0.0075	0.0088	0.0071	0.0006
5	10899785	10319990	579795	85250	13034	6328	494545	0.0454	0.0078	0.0460	0.0072	0.0006
6	10899785	10712006	187779	81807	8258	1930	105972	0.0097	0.0075	0.0101	0.0071	0.0002
7	10899785	10739868	159917	77059	3511	1581	82858	0.0076	0.0071	0.0078	0.0069	0.0001
8	10899785	10748280	151505	76892	3432	1851	74613	0.0068	0.0071	0.0070	0.0069	0.0002
9	10899785	10722073	177712	78113	3552	1701	99599	0.0091	0.0072	0.0093	0.0070	0.0002
10	10899785	10731135	168650	78170	3392	1691	90480	0.0083	0.0072	0.0085	0.0070	0.0002
11	10899785	10706484	193301	78431	3461	1770	114870	0.0105	0.0072	0.0107	0.0070	0.0002
12	10899785	10723076	176709	78099	5061	3291	98610	0.0090	0.0072	0.0093	0.0069	0.0003
13	10899785	10603305	296480	79510	7104	3813	216970	0.0199	0.0073	0.0202	0.0070	0.0003
14	10899785	10696041	203744	78070	5821	2008	125674	0.0115	0.0072	0.0118	0.0069	0.0002
15	10899785	10698226	201559	77612	5804	3796	123947	0.0114	0.0071	0.0116	0.0069	0.0003
16	10899785	10525467	374318	82245	8076	4280	292073	0.0268	0.0075	0.0272	0.0072	0.0004
17	10899785	10689305	210480	79866	6649	2369	130614	0.0120	0.0073	0.0123	0.0070	0.0002
18	10899785	10686547	213238	76755	5409	3040	136483	0.0125	0.0070	0.0128	0.0068	0.0003
19	10899785	10638095	261690	81390	8393	5353	180300	0.0165	0.0075	0.0169	0.0071	0.0005
20	10899785	10536756	363029	84111	11322	5969	278918	0.0256	0.0077	0.0261	0.0072	0.0005
21	10899785	10566420	333365	84538	11252	5283	248827	0.0228	0.0078	0.0233	0.0072	0.0005
22	10899785	10592680	307105	84529	10257	4974	222576	0.0204	0.0078	0.0209	0.0073	0.0005
23	10899785	10593442	306343	82754	11445	6471	223589	0.0205	0.0076	0.0210	0.0071	0.0006
24	10899785	10528640	371145	89971	17317	10846	281174	0.0258	0.0083	0.0266	0.0075	0.0010
25	10899785	10401522	498263	98809	22465	11619	399454	0.0366	0.0091	0.0377	0.0080	0.0011
26	10899785	10447984	451801	100204	24189	12570	351597	0.0323	0.0092	0.0334	0.0081	0.0012
27	10899785	10385047	514738	106311	31715	19145	408427	0.0375	0.0098	0.0389	0.0083	0.0018
28	10899785	10271258	628527	112944	41464	22319	515583	0.0473	0.0104	0.0492	0.0085	0.0020
29	10899785	10303374	596411	119579	53499	31180	476832	0.0437	0.0110	0.0462	0.0085	0.0029
30	10899785	10030391	869394	125396	64878	33698	743998	0.0683	0.0115	0.0712	0.0085	0.0031
31	10899785	10178532	721253	134350	79833	46135	586903	0.0538	0.0123	0.0575	0.0087	0.0042
32	10899785	9725274	1174511	97141	64969	18834	1077370	0.0988	0.0089	0.1018	0.0059	0.0017
33	10899785	10033776	866009	189184	346164	327330	676825	0.0621	0.0174	0.0780	0.0015	0.0300
34	10899785	2859009	8040776	163597	327330	0	7877179	0.7227	0.0150	0.7377	-0.0000	0.0000
